KODE,KETERANGAN,NO,REF,NOMINAL
PJM,PINJAMAN,1,K-[YYMM]-[X],
SMT,PINJAMAN SEMENTARA,2,KS-[YYMM]-[X],
CCL,CICILAN PINJAMAN,3,CK-[YYMM]-[X]-[Y],
CCS,CICILAN SEMENTARA,4,CS-[YYMM]-[X]-[Y],
SHR-T,SIMPANAN HARI RAYA TARIK,5,SHRT,
SHR-S,SIMPANAN HARI RAYA SETOR,6,SHR-[YYMM],
SW,SIMPANAN WAJIB,7,SW-[YYMM],50000
SHU,SISA HASIL USAHA,8,SHU-[YYMM],
JP,JASA PINJAMAN,9,JP-[YYMM]-[X]-[Y],
JPS,JASA PINJAMAN,10,JPS-[YYMM]-[X]-[Y],
SP,SIMPANAN POKOK,11,SP,100000
SP-T,SIMPANAN POKOK TARIK,12,SPT,
SW-T,SIMPANAN WAJIN TARIK,14,SWT,
ADM,BIAYA OPERASIONAL/ATK,15,ADM-[YYMM],
THR,Bingkisan THR,16,THR,
RAP,Rapat Pengurus,17,RAP-[YYMMDD],
RAT,Konsumsi RAT,18,RAT,
ZKT,Zakat,19,ZKT,
DPRZ,Doorprize,20,DPRZ,
